nv;Datetime;pv_P;pv_Q;pv_Ep;pv_Eq
160;2024-01-02 16:15:00;0.061117643;0;0.015210698;0
161;2024-01-02 16:30:00;0.060850714;0;0.015246045;0
162;2024-01-02 16:45:00;0.060095724;0;0.015118305;0
163;2024-01-02 17:00:00;0.060936898;0;0.015129078;0
164;2024-01-02 17:15:00;0.06010778;0;0.015130585;0
165;2024-01-02 17:30:00;0.061172575;0;0.015160044;0
166;2024-01-02 17:45:00;0.060774374;0;0.015243369;0
167;2024-01-02 18:00:00;0.059978321;0;0.015094087;0
168;2024-01-02 18:15:00;0.061149726;0;0.015141006;0
169;2024-01-02 18:30:00;0.059832472;0;0.015122775;0
170;2024-01-02 18:45:00;0.060611093;0;0.015055446;0
171;2024-01-02 19:00:00;0.059735021;0;0.015043264;0
172;2024-01-02 19:15:00;0.060260333;0;0.014999419;0
173;2024-01-02 19:30:00;0.136037178;0;0.024537189;0
174;2024-01-02 19:45:00;0.129086843;0;0.033140503;0
175;2024-01-02 20:00:00;0.12477869;0;0.031733192;0
176;2024-01-02 20:15:00;0.125642922;0;0.031302701;0
177;2024-01-02 20:30:00;0.072516705;0;0.024769953;0
178;2024-01-02 20:45:00;0.060260307;0;0.016597126;0
179;2024-01-02 21:00:00;0.061067507;0;0.015165977;0
180;2024-01-02 21:15:00;0.061319179;0;0.015298336;0
181;2024-01-02 21:30:00;0.061089789;0;0.015301121;0
182;2024-01-02 21:45:00;0.059253422;0;0.015042901;0
183;2024-01-02 22:00:00;0.061266191;0;0.015064952;0
184;2024-01-02 22:15:00;0.061203403;0;0.015308699;0
185;2024-01-02 22:30:00;0.06009762;0;0.015162628;0
186;2024-01-02 22:45:00;0.060628736;0;0.015090794;0
187;2024-01-02 23:00:00;0.059628066;0;0.0150321;0
188;2024-01-02 23:15:00;0.125080377;0;0.023088555;0
189;2024-01-02 23:30:00;0.128063743;0;0.031643015;0
190;2024-01-02 23:45:00;0.126377171;0;0.031805114;0
191;2024-01-03 00:00:00;0.124610289;0;0.031373432;0
192;2024-01-03 00:15:00;0.120013247;0;0.030577942;0
193;2024-01-03 00:30:00;0.060594297;0;0.022575943;0
194;2024-01-03 00:45:00;0.061206367;0;0.015225083;0
195;2024-01-03 01:00:00;0.061892448;0;0.015387352;0
196;2024-01-03 01:15:00;0.061807569;0;0.015462502;0
197;2024-01-03 01:30:00;0.062453188;0;0.015532595;0
198;2024-01-03 01:45:00;0.061524793;0;0.015497248;0
199;2024-01-03 02:00:00;0.058265794;0;0.014973823;0
200;2024-01-03 02:15:00;0.058994303;0;0.014657512;0
201;2024-01-03 02:30:00;0.115744459;0;0.021842345;0
202;2024-01-03 02:45:00;0.129678562;0;0.030677878;0
203;2024-01-03 03:00:00;0.125148604;0;0.031853396;0
204;2024-01-03 03:15:00;0.123726084;0;0.031109336;0
205;2024-01-03 03:30:00;0.124106015;0;0.030979012;0
206;2024-01-03 03:45:00;0.090611862;0;0.026839735;0
207;2024-01-03 04:00:00;0.059350411;0;0.018745284;0
208;2024-01-03 04:15:00;0.06001133;0;0.014920218;0
209;2024-01-03 04:30:00;0.060448137;0;0.015057433;0
210;2024-01-03 04:45:00;0.059043181;0;0.014936415;0
211;2024-01-03 05:00:00;0.060125498;0;0.014896085;0
212;2024-01-03 05:15:00;0.059401774;0;0.014940909;0
213;2024-01-03 05:30:00;0.088002099;0;0.018425484;0
214;2024-01-03 05:45:00;0.133029929;0;0.027629003;0
215;2024-01-03 06:00:00;0.125581052;0;0.032326373;0
216;2024-01-03 06:15:00;0.123591873;0;0.031146616;0
217;2024-01-03 06:30:00;0.121661271;0;0.030656643;0
218;2024-01-03 06:45:00;0.122602453;0;0.030532966;0
219;2024-01-03 07:00:00;0.101935248;0;0.028067213;0
220;2024-01-03 07:15:00;0.05581243;0;0.01971846;0
221;2024-01-03 07:30:00;0.056584431;0;0.014049608;0
222;2024-01-03 07:45:00;0.056802522;0;0.014173369;0
223;2024-01-03 08:00:00;0.05613556;0;0.01411726;0
224;2024-01-03 08:15:00;0.055864812;0;0.014000046;0
225;2024-01-03 08:30:00;0.056480353;0;0.014043146;0
226;2024-01-03 08:45:00;0.11624423;0;0.021590573;0
227;2024-01-03 09:00:00;0.126543401;0;0.030348454;0
228;2024-01-03 09:15:00;0.123350982;0;0.031236798;0
229;2024-01-03 09:30:00;0.123668465;0;0.030877431;0
230;2024-01-03 09:45:00;0.123238106;0;0.030863321;0
231;2024-01-03 10:00:00;0.079339485;0;0.025322199;0
232;2024-01-03 10:15:00;0.057457467;0;0.017099619;0
233;2024-01-03 10:30:00;0.056356768;0;0.014226779;0
234;2024-01-03 10:45:00;0.056457554;0;0.01410179;0
235;2024-01-03 11:00:00;0.059531875;0;0.014498679;0
236;2024-01-03 11:15:00;0.066740129;0;0.015784001;0
