nv;Datetime;sg2_P;sg2_Q;sg2_Ep;sg2_Eq
210;2024-01-03 04:45:00;3.754431308;0;0.929366573;0
211;2024-01-03 05:00:00;3.702365099;0;0.932099551;0
212;2024-01-03 05:15:00;2.811928604;0;0.814286713;0
213;2024-01-03 05:30:00;3.644807355;0;0.807091995;0
214;2024-01-03 05:45:00;5.372642762;0;1.127181265;0
215;2024-01-03 06:00:00;3.916024743;0;1.161083438;0
216;2024-01-03 06:15:00;19.30073151;0;2.902094532;0
217;2024-01-03 06:30:00;89.43063846;0;13.59142125;0
218;2024-01-03 06:45:00;54.52552897;0;17.99452093;0
219;2024-01-03 07:00:00;56.26928695;0;13.84935199;0
220;2024-01-03 07:15:00;69.91108607;0;15.77254663;0
221;2024-01-03 07:30:00;70.72682925;0;17.57973942;0
222;2024-01-03 07:45:00;87.43667463;0;19.77043799;0
223;2024-01-03 08:00:00;74.54184647;0;20.24731514;0
224;2024-01-03 08:15:00;70.21937465;0;18.09515264;0
225;2024-01-03 08:30:00;71.70393572;0;17.7404138;0
226;2024-01-03 08:45:00;72.57423928;0;18.03477187;0
227;2024-01-03 09:00:00;74.5062347;0;18.38505925;0
228;2024-01-03 09:15:00;71.68980885;0;18.27450544;0
229;2024-01-03 09:30:00;72.17208209;0;17.98273637;0
230;2024-01-03 09:45:00;72.33829995;0;18.06379775;0
231;2024-01-03 10:00:00;81.27767811;0;19.20199726;0
232;2024-01-03 10:15:00;76.99627542;0;19.78424419;0
233;2024-01-03 10:30:00;80.82981196;0;19.72826092;0
234;2024-01-03 10:45:00;69.07353517;0;18.73791839;0
235;2024-01-03 11:00:00;64.29445928;0;16.67099931;0
236;2024-01-03 11:15:00;68.01045794;0;16.53811465;0
237;2024-01-03 11:30:00;70.42428319;0;17.30434264;0
238;2024-01-03 11:45:00;75.72543784;0;18.26871513;0
239;2024-01-03 12:00:00;65.94655554;0;17.70899917;0
240;2024-01-03 12:15:00;67.80804576;0;16.71932516;0
241;2024-01-03 12:30:00;64.5660349;0;16.54676008;0
242;2024-01-03 12:45:00;64.69338956;0;16.15742806;0
243;2024-01-03 13:00:00;67.23504593;0;16.49105444;0
244;2024-01-03 13:15:00;3.312084798;1.100182504;8.818391341;0.137522813
245;2024-01-03 13:30:00;67.31216634;2.029221503;8.828031392;0.391175501
246;2024-01-03 13:45:00;65.52133072;2.263112509;16.60418713;0.536541752
247;2024-01-03 14:00:00;68.45410481;3.38793104;16.74692944;0.706380444
248;2024-01-03 14:15:00;68.69153939;3.396653364;17.14320553;0.848073051
249;2024-01-03 14:30:00;68.83237474;3.361227036;17.19048927;0.84473505
250;2024-01-03 14:45:00;45.05747239;4.626208352;14.23623089;0.998429424
251;2024-01-03 15:00:00;40.41029619;4.718420235;10.68347107;1.168078573
252;2024-01-03 15:15:00;54.27892782;1.057002049;11.836153;0.721927785
253;2024-01-03 15:30:00;75.09244365;0.854098621;16.17142143;0.238887584
