nv;Datetime;MS_P;MS_Q;MS_Ep;MS_Eq
170;2024-01-02 18:45:00;135.1450554;0;29.73331032;0
171;2024-01-02 19:00:00;129.8838342;0;33.12861119;0
172;2024-01-02 19:15:00;122.5152298;0;31.549883;0
173;2024-01-02 19:30:00;109.3788082;0;28.98675476;0
174;2024-01-02 19:45:00;120.9808849;0;28.79496164;0
175;2024-01-02 20:00:00;119.3065818;0;30.03593334;0
176;2024-01-02 20:15:00;113.6398554;0;29.11830465;0
177;2024-01-02 20:30:00;111.9366818;0;28.19706716;0
178;2024-01-02 20:45:00;132.5663991;0;30.56288512;0
179;2024-01-02 21:00:00;135.0902588;0;33.45708224;0
180;2024-01-02 21:15:00;105.8079947;0;30.11228169;0
181;2024-01-02 21:30:00;110.0183216;0;26.97828955;0
182;2024-01-02 21:45:00;100.2360342;0;26.28179448;0
183;2024-01-02 22:00:00;102.3839851;0;25.32750242;0
184;2024-01-02 22:15:00;107.9930086;0;26.29712422;0
185;2024-01-02 22:30:00;108.921416;0;27.11430308;0
186;2024-01-02 22:45:00;94.36009435;0;25.41018879;0
187;2024-01-02 23:00:00;86.40639596;0;22.59581129;0
188;2024-01-02 23:15:00;97.96754613;0;23.04674276;0
189;2024-01-02 23:30:00;88.23152361;0;23.27488372;0
190;2024-01-02 23:45:00;73.60336294;0;20.22936082;0
191;2024-01-03 00:00:00;61.86800584;0;16.9339211;0
192;2024-01-03 00:15:00;86.43117786;0;18.53739796;0
193;2024-01-03 00:30:00;76.52279325;0;20.36924639;0
194;2024-01-03 00:45:00;88.34295473;0;20.6082185;0
195;2024-01-03 01:00:00;110.4287631;0;24.84646472;0
196;2024-01-03 01:15:00;112.3152857;0;27.8430061;0
197;2024-01-03 01:30:00;101.1827657;0;26.68725642;0
198;2024-01-03 01:45:00;80.21880555;0;22.6751964;0
199;2024-01-03 02:00:00;72.50067888;0;19.08993555;0
200;2024-01-03 02:15:00;72.21975365;0;18.09005407;0
201;2024-01-03 02:30:00;73.98176177;0;18.27518943;0
202;2024-01-03 02:45:00;89.50549737;0;20.43590739;0
203;2024-01-03 03:00:00;94.42174959;0;22.99090587;0
204;2024-01-03 03:15:00;66.11556206;0;20.06716396;0
205;2024-01-03 03:30:00;57.69049655;0;15.47575733;0
206;2024-01-03 03:45:00;79.03177416;0;17.09028384;0
207;2024-01-03 04:00:00;85.86455443;0;20.61204107;0
208;2024-01-03 04:15:00;73.794425;0;19.95737243;0
209;2024-01-03 04:30:00;81.18726034;0;19.37271067;0
210;2024-01-03 04:45:00;73.98595115;0;19.39665144;0
211;2024-01-03 05:00:00;91.62913611;0;20.70188591;0
212;2024-01-03 05:15:00;64.86353563;0;19.56158397;0
213;2024-01-03 05:30:00;69.31875678;0;16.77278655;0
214;2024-01-03 05:45:00;80.2032439;0;18.69025008;0
215;2024-01-03 06:00:00;88.70387446;0;21.1133898;0
216;2024-01-03 06:15:00;153.310039;0;30.25173918;0
217;2024-01-03 06:30:00;305.5933506;0;57.3629237;0
218;2024-01-03 06:45:00;295.6474944;0;75.15510562;0
219;2024-01-03 07:00:00;299.6346674;0;74.41027022;0
220;2024-01-03 07:15:00;338.797803;0;79.8040588;0
221;2024-01-03 07:30:00;349.6111537;0;86.05111959;0
222;2024-01-03 07:45:00;367.1150862;0;89.59078;0
223;2024-01-03 08:00:00;344.014737;0;88.8912279;0
224;2024-01-03 08:15:00;337.913556;0;85.24103663;0
225;2024-01-03 08:30:00;325.316196;0;82.90371901;0
226;2024-01-03 08:45:00;329.4204647;0;81.84208259;0
227;2024-01-03 09:00:00;371.9132263;0;87.66671137;0
228;2024-01-03 09:15:00;348.8570939;0;90.09629002;0
229;2024-01-03 09:30:00;343.5219826;0;86.54738456;0
230;2024-01-03 09:45:00;333.0143741;0;84.56704459;0
231;2024-01-03 10:00:00;321.1570182;0;81.77142403;0
232;2024-01-03 10:15:00;337.1259215;0;82.28536746;0
233;2024-01-03 10:30:00;308.4610918;0;80.69837667;0
234;2024-01-03 10:45:00;300.2573324;0;76.08980302;0
235;2024-01-03 11:00:00;293.2461135;0;74.18793074;0
236;2024-01-03 11:15:00;302.6446421;0;74.48634444;0
237;2024-01-03 11:30:00;315.4888922;0;77.26669178;0
238;2024-01-03 11:45:00;314.9579556;0;78.80585598;0
