;Datetime;sg4_P;sg4_Q
233;2024-01-03 10:30:00;71.2560967;0
234;2024-01-03 10:45:00;70.79916313;0
235;2024-01-03 11:00:00;59.46141925;0
236;2024-01-03 11:15:00;58.45096584;0
237;2024-01-03 11:30:00;59.38455599;0
238;2024-01-03 11:45:00;58.84423275;0
239;2024-01-03 12:00:00;57.6016967;0
240;2024-01-03 12:15:00;62.16602938;0
241;2024-01-03 12:30:00;65.00912793;0
242;2024-01-03 12:45:00;56.71757006;0
243;2024-01-03 13:00:00;52.90438577;0
244;2024-01-03 13:15:00;63.80092494;1.054552323
245;2024-01-03 13:30:00;62.40247358;2.117415662
246;2024-01-03 13:45:00;56.73043858;3.791113227
247;2024-01-03 14:00:00;58.17036207;2.971911751
248;2024-01-03 14:15:00;53.9920962;0.864614493
249;2024-01-03 14:30:00;57.33250342;0.184069767
250;2024-01-03 14:45:00;62.68728295;0.412199116
251;2024-01-03 15:00:00;59.35090796;0.947700343
252;2024-01-03 15:15:00;53.34609424;0.267246983
253;2024-01-03 15:30:00;58.64588598;0.048542485
254;2024-01-03 15:45:00;58.17940594;-0.135934555
255;2024-01-03 16:00:00;61.64792826;-0.06227887
256;2024-01-03 16:15:00;41.95715015;-0.147811572
257;2024-01-03 16:30:00;33.20873909;-0.112665748
258;2024-01-03 16:45:00;32.04738227;-0.042937387
259;2024-01-03 17:00:00;30.99057348;-0.085511103
260;2024-01-03 17:15:00;28.4197421;-0.385233798
261;2024-01-03 17:30:00;16.56109141;-0.355672091
262;2024-01-03 17:45:00;15.6031276;-1.101944589
263;2024-01-03 18:00:00;16.48077767;-0.571706032
264;2024-01-03 18:15:00;16.67171911;-0.979941018
265;2024-01-03 18:30:00;18.0381587;-0.309012255
266;2024-01-03 18:45:00;18.93559094;-1.332801648
267;2024-01-03 19:00:00;30.18957464;-1.16986518
268;2024-01-03 19:15:00;28.93613514;-1.032748367
269;2024-01-03 19:30:00;28.65449477;-1.114227366
