;Datetime;pv_P;pv_Q
181;2024-01-02 21:30:00;0.061089789;0
182;2024-01-02 21:45:00;0.059253422;0
183;2024-01-02 22:00:00;0.061266191;0
184;2024-01-02 22:15:00;0.061203403;0
185;2024-01-02 22:30:00;0.06009762;0
186;2024-01-02 22:45:00;0.060628736;0
187;2024-01-02 23:00:00;0.059628066;0
188;2024-01-02 23:15:00;0.125080377;0
189;2024-01-02 23:30:00;0.128063743;0
190;2024-01-02 23:45:00;0.126377171;0
191;2024-01-03 00:00:00;0.124610289;0
192;2024-01-03 00:15:00;0.120013247;0
193;2024-01-03 00:30:00;0.060594297;0
194;2024-01-03 00:45:00;0.061206367;0
195;2024-01-03 01:00:00;0.061892448;0
196;2024-01-03 01:15:00;0.061807569;0
197;2024-01-03 01:30:00;0.062453188;0
198;2024-01-03 01:45:00;0.061524793;0
199;2024-01-03 02:00:00;0.058265794;0
200;2024-01-03 02:15:00;0.058994303;0
201;2024-01-03 02:30:00;0.115744459;0
202;2024-01-03 02:45:00;0.129678562;0
203;2024-01-03 03:00:00;0.125148604;0
204;2024-01-03 03:15:00;0.123726084;0
205;2024-01-03 03:30:00;0.124106015;0
206;2024-01-03 03:45:00;0.090611862;0
207;2024-01-03 04:00:00;0.059350411;0
208;2024-01-03 04:15:00;0.06001133;0
209;2024-01-03 04:30:00;0.060448137;0
210;2024-01-03 04:45:00;0.059043181;0
211;2024-01-03 05:00:00;0.060125498;0
212;2024-01-03 05:15:00;0.059401774;0
213;2024-01-03 05:30:00;0.088002099;0
214;2024-01-03 05:45:00;0.133029929;0
215;2024-01-03 06:00:00;0.125581052;0
216;2024-01-03 06:15:00;0.123591873;0
217;2024-01-03 06:30:00;0.121661271;0
218;2024-01-03 06:45:00;0.122602453;0
219;2024-01-03 07:00:00;0.101935248;0
220;2024-01-03 07:15:00;0.05581243;0
221;2024-01-03 07:30:00;0.056584431;0
222;2024-01-03 07:45:00;0.056802522;0
223;2024-01-03 08:00:00;0.05613556;0
224;2024-01-03 08:15:00;0.055864812;0
225;2024-01-03 08:30:00;0.056480353;0
226;2024-01-03 08:45:00;0.11624423;0
227;2024-01-03 09:00:00;0.126543401;0
228;2024-01-03 09:15:00;0.123350982;0
229;2024-01-03 09:30:00;0.123668465;0
230;2024-01-03 09:45:00;0.123238106;0
231;2024-01-03 10:00:00;0.079339485;0
232;2024-01-03 10:15:00;0.057457467;0
233;2024-01-03 10:30:00;0.056356768;0
234;2024-01-03 10:45:00;0.056457554;0
235;2024-01-03 11:00:00;0.059531875;0
236;2024-01-03 11:15:00;0.066740129;0
237;2024-01-03 11:30:00;0.06782627;0
238;2024-01-03 11:45:00;0.064320348;0
239;2024-01-03 12:00:00;0.069860516;0
240;2024-01-03 12:15:00;0.065607531;0
241;2024-01-03 12:30:00;0.064490636;0
242;2024-01-03 12:45:00;0.063090252;0
243;2024-01-03 13:00:00;0.056065857;0
244;2024-01-03 13:15:00;0.007970046;0
245;2024-01-03 13:30:00;0.12799595;0
246;2024-01-03 13:45:00;0.126010178;0
247;2024-01-03 14:00:00;0.124634113;0
248;2024-01-03 14:15:00;0.063235895;0
249;2024-01-03 14:30:00;0.057114562;0
250;2024-01-03 14:45:00;0.057059856;0
251;2024-01-03 15:00:00;0.057863435;0
252;2024-01-03 15:15:00;0.057861269;0
253;2024-01-03 15:30:00;0.057806604;0
254;2024-01-03 15:45:00;0.05816062;0
255;2024-01-03 16:00:00;0.058570632;0
256;2024-01-03 16:15:00;0.079528804;0
257;2024-01-03 16:30:00;0.136040019;0
258;2024-01-03 16:45:00;0.124140056;0
259;2024-01-03 17:00:00;0.12432719;0
260;2024-01-03 17:15:00;0.124748767;0
261;2024-01-03 17:30:00;0.123993124;0
262;2024-01-03 17:45:00;0.06925021;0
263;2024-01-03 18:00:00;0.058538143;0
264;2024-01-03 18:15:00;0.057812146;0
265;2024-01-03 18:30:00;0.056480783;0
266;2024-01-03 18:45:00;0.057333015;0
267;2024-01-03 19:00:00;0.057965804;0
268;2024-01-03 19:15:00;0.059000764;0
269;2024-01-03 19:30:00;0.092573095;0
270;2024-01-03 19:45:00;0.130778636;0
271;2024-01-03 20:00:00;0.123649001;0
272;2024-01-03 20:15:00;0.123656964;0
273;2024-01-03 20:30:00;0.122726767;0
274;2024-01-03 20:45:00;0.12308475;0
275;2024-01-03 21:00:00;0.065263945;0
276;2024-01-03 21:15:00;0.058822459;0
